alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Barat,Rp4.490.000.000,4,100,144
Bandung Barat,Rp823.000.000,3,90,104
Bandung Selatan,Rp553.000.000,2,46,83
Bandung Barat,Rp709.620.000,2,42,72
Bandung Timur,Rp295.000.000,2,36,60
Bandung Utara,Rp3.800.000.000,4,270,309
Bandung Tengah,Rp1.649.000.000,2,100,141
Bandung Utara,Rp70.000.000.000,2,105,105
Bandung Timur,Rp3.300.000.000,6,282,320
Bandung Timur,Rp1.600.000.000,4,150,144
Bandung Tengah,Rp330.000.000,2,40,72
Bandung Selatan,Rp3.900.000.000,4,225,320
Bandung Timur,Rp288.004.000,2,36,72
Bandung Barat,Rp4.250.000.000,7,350,316
Bandung Timur,Rp460.000.000,2,45,84
Bandung Utara,Rp383.000.000,2,36,106
Bandung Utara,Rp2.500.000.000,7,250,198
Bandung Utara,Rp1.500.000.000,4,150,145
Bandung Timur,Rp1.154.000.000,3,70,167
Bandung Barat,Rp1.500.000.000,3,175,310
Bandung Timur,Rp1.300.000.000,3,140,173
Bandung Utara,Rp1.750.000.000,3,150,232
Bandung Utara,Rp400.000.000,2,70,70
Bandung Selatan,Rp3.000.000.000,6,350,200
Bandung Barat,Rp300.000.000,2,36,65
Bandung Barat,Rp350.000.000,2,36,106
Bandung Barat,Rp350.000.000,2,36,106
Bandung Barat,Rp366.000.000,2,45,62
Bandung Barat,Rp699.999.999,3,80,104
Bandung Barat,Rp358.000.000,2,36,60
Bandung Barat,Rp2.900.000.000,5,400,449
Bandung Utara,Rp13.000.000.000,5,1100,475
Bandung Timur,Rp400.000.000,2,70,74
Bandung Tengah,Rp5.495.000.000,16,550,450
Bandung Selatan,Rp2.200.000.000,6,200,368
Bandung Barat,Rp200.000.000,2,30,60
Bandung Barat,Rp360.000.000,2,45,62
Bandung Utara,Rp3.900.000.000,5,160,220
Bandung Timur,Rp700.000.000,4,170,162
Bandung Selatan,Rp500.000.000,3,82,90
Bandung Selatan,Rp6.500.000.000,1,270,486
