alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Selatan,580000000,2,46,90
Bandung Barat,640000000,2,60,80
Bandung Utara,900000000,4,100,136
Bandung Utara,6000000000,7,500,360
Bandung Barat,6800000000,7,530,496
Bandung Timur,2800000000,3,250,98
Bandung Selatan,3500000000,4,105,178
Bandung Timur,551000000,2,36,72
Bandung Timur,6900000000,5,800,455
Bandung Barat,1900000000,5,200,180
Bandung Selatan,4300000000,5,187,207
Bandung Timur,4200000000,5,400,300
Bandung Timur,2100000000,3,170,170
Bandung Utara,4000000000,19,400,250
Bandung Utara,1250000000,4,110,127
Bandung Selatan,499000000,3,54,110
Bandung Barat,1300000000,3,120,162
Bandung Tengah,1800000000,3,80,143
Bandung Timur,910000000,2,45,84
Bandung Utara,280000000,2,36,72
Bandung Barat,1600000000,3,73,163
Bandung Utara,13000000000,5,550,1547
Bandung Timur,2350000000,2,120,90
Bandung Timur,5700000000,5,300,417
Bandung Barat,8800000000,5,500,536
Bandung Tengah,1500000000,2,100,156
Bandung Selatan,1750000000,5,200,225
Bandung Selatan,3500000000,4,200,240
Bandung Selatan,4700000000,4,210,399
Bandung Selatan,6000000000,7,500,360
Bandung Utara,2300000000,3,200,183
Bandung Utara,2500000000,4,250,178
Bandung Utara,2650000000,13,375,258
Bandung Timur,1200000000,10,220,155
Bandung Tengah,2500000000,3,165,122
Bandung Timur,1700000000,3,160,108
Bandung Selatan,1300000000,5,160,120
Bandung Selatan,990000000,3,89,83
Bandung Utara,2200000000,4,350,185
Bandung Timur,2200000000,3,250,142
Bandung Timur,2500000000,4,240,175
Bandung Timur,2800000000,5,250,200
Bandung Barat,2600000000,2,168,130
Bandung Utara,18500000000,4,500,1048
Bandung Timur,1300000000,2,58,144
Bandung Timur,2000000000,4,136,222
Bandung Utara,3800000000,6,254,414
Bandung Timur,209000000,2,36,66
Bandung Utara,250000000,2,60,39
Bandung Timur,170000000,2,30,60
Bandung Barat,350000000,2,36,72
Bandung Timur,306980000,2,37,60
Bandung Selatan,498000000,2,42,72
Bandung Selatan,120000000,2,36,60
Bandung Barat,1650000000,6,280,200
Bandung Timur,949000000,3,108,96
Bandung Timur,5900000000,5,218,412
Bandung Selatan,3000000000,11,400,407
Bandung Utara,1900000000,3,150,152
Bandung Barat,206000000,1,33,60
Bandung Barat,900000000,3,98,90
Bandung Timur,350000000,2,36,72
Bandung Barat,2600000000,4,270,200
Bandung Utara,2200000000,6,135,265
Bandung Timur,495000000,2,72,72
Bandung Utara,19000000000,9,500,1252
Bandung Selatan,4500000000,7,250,330
Bandung Timur,900000000,4,72,72
Bandung Timur,2700000000,7,250,327
Bandung Selatan,2200000000,3,120,162
Bandung Selatan,3250000000,4,380,297
Bandung Utara,20000000000,8,400,776
Bandung Barat,500000000,3,80,94
Bandung Barat,450000000,2,40,72
Bandung Selatan,5500000000,8,325,507
Bandung Utara,1600000000,4,100,100
Bandung Tengah,1399000000,2,125,151
Bandung Selatan,2300000000,5,400,204
Bandung Utara,14000000000,10,700,525
Bandung Utara,456000000,2,36,72
Bandung Utara,10500000000,3,350,853
Bandung Utara,15000000000,7,500,947
Bandung Utara,11000000000,6,350,430
Bandung Selatan,640000000,2,60,80
Bandung Selatan,1950000000,4,100,147
Bandung Selatan,2100000000,6,180,114
Bandung Utara,563000000,2,65,84
Bandung Timur,1750000000,18,320,175
Bandung Timur,200000000,2,30,60
Bandung Selatan,1250000000,6,400,257
Bandung Barat,1900000000,3,129,120
Bandung Barat,450000000,2,40,72
Bandung Selatan,480000000,2,42,72
Bandung Timur,170000000,2,39,60
Bandung Utara,1500000000,6,300,180
Bandung Selatan,1800000000,4,110,75
Bandung Selatan,3000000000,8,400,299
Bandung Timur,499000000,2,45,75
Bandung Timur,700000000,3,91,80
Bandung Barat,250000000,2,30,60
Bandung Selatan,250000000,2,30,60
Bandung Barat,450000000,2,40,72
Bandung Tengah,450000000,2,40,72
Bandung Timur,200000000,2,60,30
Bandung Selatan,1500000000,5,142,118
Bandung Tengah,250000000,2,33,60
Bandung Selatan,480000000,2,42,72
Bandung Timur,170000000,2,30,60
Bandung Selatan,480000000,2,42,72
Bandung Selatan,480000000,2,42,72
Bandung Timur,206000000,2,33,60
Bandung Barat,300000000,2,36,72
Bandung Barat,450000000,2,40,72
Bandung Tengah,227000000,2,33,66
Bandung Utara,6500000000,3,300,240
Bandung Timur,277000000,2,33,60
Bandung Selatan,250000000,2,33,60
Bandung Barat,700000000,3,80,91
Bandung Tengah,450000000,2,40,72
Bandung Utara,1500000000,4,280,126
Bandung Barat,480000000,2,42,72
Bandung Tengah,499000000,2,45,75
Bandung Tengah,450000000,2,40,72
Bandung Utara,450000000,2,40,72
Bandung Utara,750000000,2,50,150
Bandung Utara,700000000,3,80,94
Bandung Timur,700000000,3,80,91
Bandung Utara,4200000000,6,200,297
Bandung Selatan,260000000,2,60,30
Bandung Timur,200000000,2,33,66
Bandung Selatan,170000000,2,36,55
Bandung Utara,300000000,2,45,72
Bandung Selatan,480000000,2,42,72
Bandung Timur,700000000,2,80,91
Bandung Utara,2750000000,5,900,300
Bandung Barat,470000000,3,120,80
Bandung Selatan,480000000,2,42,72
Bandung Selatan,480000000,2,42,72
Bandung Barat,300000000,2,36,72
Bandung Selatan,2100000000,3,500,300
Bandung Timur,480000000,2,42,72
Bandung Utara,700000000,3,80,91
Bandung Barat,470000000,3,120,80
Bandung Selatan,2800000000,5,200,114
Bandung Selatan,1300000000,4,150,122
Bandung Tengah,6500000000,4,1070,700
Bandung Selatan,795000000,4,180,90
Bandung Selatan,1800000000,4,309,192
Bandung Selatan,120000000,2,36,50
Bandung Timur,580000000,3,54,87
Bandung Utara,758314138,2,36,122
Bandung Utara,649000000,3,100,169
Bandung Timur,449000000,3,88,103
Bandung Utara,2595000000,5,250,170
Bandung Selatan,450000000,3,36,90
Bandung Barat,499000000,2,45,75
Bandung Timur,570000000,5,150,180
Bandung Timur,470000000,3,120,80
Bandung Timur,480000000,2,42,72
Bandung Utara,1500000000,3,200,259
Bandung Selatan,1900000000,4,200,180
Bandung Utara,800000000,10,213,106
Bandung Utara,800000000,3,90,112
Bandung Barat,627000000,2,48,128
Bandung Timur,1600000000,4,100,119
Bandung Utara,4000000000,4,168,330
Bandung Utara,2150000000,5,150,296
Bandung Utara,800000000,5,151,90
Bandung Utara,1750000000,4,200,280
Bandung Utara,753000000,3,110,70
Bandung Selatan,500000000,2,70,70
Bandung Utara,800000000,5,151,90
Bandung Selatan,553000000,2,46,83
Bandung Utara,625000000,1,60,42
Bandung Timur,1499000000,5,200,121
Bandung Utara,575000000,2,45,102
Bandung Tengah,5995000000,5,400,500
Bandung Timur,425000000,2,36,94
Bandung Timur,3249000000,6,280,152
Bandung Utara,1650000000,5,175,104
Bandung Timur,800000000,3,84,90
Bandung Timur,425000000,2,38,72
Bandung Utara,4300000000,4,450,323
Bandung Utara,8500000000,7,800,600
Bandung Timur,3800000000,5,325,300
Bandung Timur,499000000,3,54,110
Bandung Timur,1800000000,5,214,230
Bandung Barat,4490000000,4,100,144
Bandung Barat,823000000,3,90,104
Bandung Selatan,553000000,2,46,83
Bandung Barat,709620000,2,42,72
Bandung Timur,295000000,2,36,60
Bandung Utara,3800000000,4,270,309
Bandung Tengah,1649000000,2,100,141
Bandung Utara,70000000000,2,105,105
Bandung Timur,3300000000,6,282,320
