kota,id,hdi,revenue
"Ogan Komering Ilir, Kab.",IDN_Ogan_Komering_Ilir_Kab_73815,71.82,1410410000000
"Ogan Komering Ulu Selatan, Kab.",IDN_Ogan_Komering_Ulu_Selatan_Kab_73816,72.67,820131000000
"Ogan Komering Ulu Timur, Kab.",IDN_Ogan_Komering_Ulu_Timur_Kab_73817,71.19,1173080000000
"Ogan Komering Ulu, Kab.",IDN_Ogan_Komering_Ulu_Kab_73818,74.42,978833000000
"Pacitan, Kab.",IDN_Pacitan_Kab_18089,73.36,1061400000000
"Padang Lawas Utara, Kab.",IDN_Padang_Lawas_Utara_18283,73.96,276976000000
"Padang Lawas, Kab.",IDN_Padang_Lawas_18282,73.27,539014000000
"Padang Pariaman, Kab.",IDN_Padang_Pariaman_Kab_73819,72.93,956685000000
"Pakpak Bharat, Kab.",IDN_Pakpak_Bharat_Kab_73820,72.54,390450000000
"Pamekasan, Kab.",IDN_Pamekasan_Kab_18090,67.17,1219850000000
"Pandeglang, Kab.",IDN_Pandeglang_Kab_18022,69.64,1541840000000
"Pangkajene Kepulauan, Kab.",IDN_Pangkajene_Kepulauan_Kab_18179,71.26,913803000000
"Paniai, Kab.",IDN_Paniai_Kab_17996,60.81,705733000000
